,date,createdDate,name,playerClass,index
0,2014-12-11 20:01:17.997,2014-12-11T20:01:17.997Z,Windfury Shaman by Reynad,Shaman,0
1,2014-12-11 20:13:16.995,2014-12-11T20:13:16.995Z,BMA's Chowlock Deck,Warlock,1
2,2014-12-12 03:56:04.037,2014-12-12T03:56:04.037Z,[GvG] Mecha Zoo By Gaara,Warlock,2
3,2014-12-12 22:57:19.684,2014-12-12T22:57:19.684Z,Tempo Mage,Mage,3
4,2014-12-12 23:50:56.608,2014-12-12T23:50:56.608Z,Kitkatz's Control Warrior,Warrior,4
5,2014-12-14 07:04:48.590,2014-12-14T07:04:48.590Z,MechaMage,Mage,5
6,2014-12-14 07:44:55.577,2014-12-14T07:44:55.577Z,Paladin test,Paladin,6
7,2014-12-14 07:46:43.473,2014-12-14T07:46:43.473Z,GvG Ramp Druid,Druid,7
8,2014-12-14 08:30:35.789,2014-12-14T08:30:35.789Z,Freeze Mage by Hyped,Mage,8
9,2014-12-14 12:14:51.087,2014-12-14T12:14:51.087Z,Control Huntard,Hunter,9
10,2014-12-14 14:30:09.990,2014-12-14T14:30:09.990Z,Sumadin's Divine Paladin,Paladin,10
11,2014-12-14 14:41:26.612,2014-12-14T14:41:26.612Z,Mid-Range Mech Warrior,Warrior,11
12,2014-12-14 15:13:02.600,2014-12-14T15:13:02.600Z,Watcher Druid,Druid,12
13,2014-12-14 15:19:12.621,2014-12-14T15:19:12.621Z,Its all Ogre now,Druid,13
14,2014-12-14 15:40:44.562,2014-12-14T15:40:44.562Z,Cspence's Control Mage,Mage,14
15,2014-12-14 16:04:38.953,2014-12-14T16:04:38.953Z,Mechs will rise gainst you! ( Tempo mech druid),Druid,15
16,2014-12-14 16:25:39.949,2014-12-14T16:25:39.949Z,Grave Digger,Shaman,16
17,2014-12-14 16:34:20.292,2014-12-14T16:34:20.292Z,Mechanical Druid,Druid,17
18,2014-12-14 16:40:45.479,2014-12-14T16:40:45.479Z,witzig Tempo Rouge,Rogue,18
19,2014-12-14 18:06:14.717,2014-12-14T18:06:14.717Z,Thank you (gimmick deck),Priest,19
20,2014-12-14 19:26:48.734,2014-12-14T19:26:48.734Z,Legendary-less Handlock! (GvG),Warlock,20
21,2014-12-14 20:06:37.892,2014-12-14T20:06:37.892Z,[GvG] Mech Shaman,Shaman,21
22,2014-12-14 21:12:30.400,2014-12-14T21:12:30.400Z,response.end('aa') $<strong>pie</strong>,Mage,22
