createdDate,name,playerClass
2014-12-11 20:01:17.997,Windfury Shaman by Reynad,Shaman
2014-12-11 20:13:16.995,BMA's Chowlock Deck,Warlock
2014-12-12 03:56:04.037,[GvG] Mecha Zoo By Gaara,Warlock
2014-12-12 22:57:19.684,Tempo Mage,Mage
2014-12-12 23:50:56.608,Kitkatz's Control Warrior,Warrior
2014-12-14 07:04:48.590,MechaMage,Mage
2014-12-14 07:44:55.577,Paladin test,Paladin
2014-12-14 07:46:43.473,GvG Ramp Druid,Druid
2014-12-14 08:30:35.789,Freeze Mage by Hyped,Mage
2014-12-14 12:14:51.087,Control Huntard,Hunter
2014-12-14 14:30:09.990,Sumadin's Divine Paladin,Paladin
2014-12-14 14:41:26.612,Mid-Range Mech Warrior,Warrior
2014-12-14 15:13:02.600,Watcher Druid,Druid
2014-12-14 15:19:12.621,Its all Ogre now,Druid
2014-12-14 15:40:44.562,Cspence's Control Mage,Mage
2014-12-14 16:04:38.953,Mechs will rise gainst you! ( Tempo mech druid),Druid
2014-12-14 16:25:39.949,Grave Digger,Shaman
2014-12-14 16:34:20.292,Mechanical Druid,Druid
2014-12-14 16:40:45.479,witzig Tempo Rouge,Rogue
2014-12-14 18:06:14.717,Thank you (gimmick deck),Priest
2014-12-14 19:26:48.734,Legendary-less Handlock! (GvG),Warlock
2014-12-14 20:06:37.892,[GvG] Mech Shaman,Shaman
2014-12-14 21:12:30.400,response.end('aa') $<strong>pie</strong>,Mage
2014-12-14 21:26:04.552,Speculative StrifeCro New GvG Kinguin Token Pally,Paladin
2014-12-14 21:33:36.301,Blackknights Controll Deck,Mage
2014-12-14 22:00:29.836,Lifecoach Aggro MechMage,Mage
2014-12-14 22:27:55.231,Mech Mage,Mage
2014-12-14 23:51:50.127,Kaza's Paladin - Straight Lobbin',Paladin
2014-12-15 01:40:59.444,Steal Priest,Priest
2014-12-15 02:25:03.357,Shamechrattle,Shaman
2014-12-15 02:51:49.105,Dr. Boom!,Shaman
2014-12-15 03:05:21.097,Combo/Control Priest in the early days of GvG,Priest
2014-12-15 03:37:48.482,Midrange Rogue,Rogue
2014-12-15 04:38:08.055,Trogg Rouge,Rogue
2014-12-15 04:50:57.904,Legendary Control Priest,Priest
2014-12-15 05:42:43.674,Budget Rogue (Mecha Zoo),Rogue
2014-12-15 06:40:30.073,Mid Range Mech Druid,Druid
2014-12-15 07:35:56.331,GvG Aggro Hunter!,Hunter
2014-12-15 09:45:28.173,Powermech,Shaman
2014-12-15 10:22:15.098,Rust,Paladin
2014-12-15 11:01:18.328,GvG Control Warrior,Warrior
2014-12-15 13:47:27.534,Unstoppable Mage,Mage
2014-12-15 14:43:58.664,Reynad Mech Druid (W/O Dr Boom),Druid
2014-12-15 15:15:25.859,bloodlust Giant,Shaman
2014-12-15 15:52:31.591,Beast Druid,Druid
2014-12-15 15:56:52.052,Control Pally,Paladin
2014-12-15 16:01:19.135,Aggro Mech Shaman,Shaman
2014-12-15 16:10:53.335,How to go Legend with Paladin,Paladin
2014-12-15 17:08:03.081,Tempo Pirates,Rogue
2014-12-15 17:13:47.705,Avatar Nick's New Age Legend ZooLock,Warlock
2014-12-15 17:30:41.035,Control the Beast,Hunter
2014-12-15 17:41:54.323,Sea Giant Zoolock,Warlock
2014-12-15 17:46:19.176,My Army shines bright!,Paladin
2014-12-15 17:47:57.989,Mech Druid,Druid
2014-12-15 18:04:16.265,Control Warrior,Warrior
2014-12-15 22:25:30.088,Kel'thumech,Paladin
2014-12-15 23:29:01.718,Lifecoach-(Serve Facejustice),Paladin
2014-12-16 00:01:28.995,Industrial Wasteland,Paladin
2014-12-16 02:24:10.402,Amaz Midrange,Priest
2014-12-16 03:56:42.196,Ladder Shaman,Shaman
2014-12-16 09:01:52.111,Rampsidoodles,Druid
